Date,Region,Product,Value
2025-01-28,Interior,B,23487.0
2025-01-29,CABA,A,25775.0
2025-01-29,CABA,B,28868.0
2025-01-29,GBA,A,2825.0
2025-01-29,GBA,B,7850.0
2025-01-29,Interior,A,13028.0
2025-01-29,Interior,B,6612.0
2025-01-30,CABA,A,22541.0
2025-01-30,CABA,B,33752.0
2025-01-30,GBA,A,33067.0
2025-01-30,GBA,B,24084.0
2025-01-30,Interior,A,42899.0
2025-01-30,Interior,B,28697.0
2025-01-31,CABA,A,4880.0
2025-01-31,CABA,B,38485.0
2025-01-31,GBA,A,29156.0
2025-01-31,GBA,B,32101.0
2025-01-31,Interior,A,28703.0
2025-01-31,Interior,B,28125.0
2025-02-03,CABA,A,5437.0
2025-02-03,CABA,B,28401.0
2025-02-03,GBA,A,39951.0
2025-02-03,GBA,B,15893.0
2025-02-03,Interior,A,30539.0
2025-02-03,Interior,B,2510.0
2025-02-04,CABA,A,18027.0
2025-02-04,CABA,B,22399.0
2025-02-04,GBA,A,49155.0
2025-02-04,GBA,B,11514.0
2025-02-04,Interior,A,14551.0
2025-02-04,Interior,B,21018.0
2025-02-05,CABA,A,49641.0
2025-02-05,CABA,B,42817.0
2025-02-05,GBA,A,2699.0
2025-02-05,GBA,B,12463.0
2025-02-05,Interior,A,41262.0
2025-02-05,Interior,B,3856.0
2025-02-06,CABA,A,42928.0
2025-02-06,CABA,B,14788.0
2025-02-06,GBA,A,45965.0
2025-02-06,GBA,B,15386.0
2025-02-06,Interior,A,22281.0
2025-02-06,Interior,B,33434.0
2025-02-07,CABA,A,7187.0
2025-02-07,CABA,B,28295.0
2025-02-07,GBA,A,25746.0
2025-02-07,GBA,B,39411.0
2025-02-07,Interior,A,49810.0
2025-02-07,Interior,B,33552.0
2025-02-10,CABA,A,21050.0
2025-02-10,CABA,B,20913.0
2025-02-10,GBA,A,21480.0
2025-02-10,GBA,B,40887.0
2025-02-10,Interior,A,16739.0
2025-02-10,Interior,B,9181.0
2025-02-11,CABA,A,17380.0
2025-02-11,CABA,B,2112.0
2025-02-11,GBA,A,6201.0
2025-02-11,GBA,B,5412.0
2025-02-11,Interior,A,38806.0
2025-02-11,Interior,B,36396.0
2025-02-12,CABA,A,35142.0
2025-02-12,CABA,B,23632.0
2025-02-12,GBA,A,36136.0
2025-02-12,GBA,B,8902.0
2025-02-12,Interior,A,45131.0
2025-02-12,Interior,B,25551.0
2025-02-13,CABA,A,46965.0
2025-02-13,CABA,B,8463.0
2025-02-13,GBA,A,25369.0
2025-02-13,GBA,B,35120.0
2025-02-13,Interior,A,25286.0
2025-02-13,Interior,B,22862.0
2025-02-14,CABA,A,9144.0
2025-02-14,CABA,B,19670.0
2025-02-14,GBA,A,12699.0
2025-02-14,GBA,B,15774.0
2025-02-14,Interior,A,34502.0
2025-02-14,Interior,B,31884.0
2025-02-17,CABA,A,30753.0
2025-02-17,CABA,B,18729.0
2025-02-17,GBA,A,48025.0
2025-02-17,GBA,B,5294.0
2025-02-17,Interior,A,17787.0
2025-02-17,Interior,B,6782.0
2025-02-18,CABA,A,17608.0
2025-02-18,CABA,B,48133.0
2025-02-18,GBA,A,18947.0
2025-02-18,GBA,B,45521.0
2025-02-18,Interior,A,25258.0
2025-02-18,Interior,B,35286.0
