Date,Region,Product,Value
2026-02-06,Interior,A,10408.0
2026-02-06,Interior,B,7956.0
2026-02-09,CABA,A,25565.0
2026-02-09,CABA,B,41068.0
2026-02-09,GBA,A,30525.0
2026-02-09,GBA,B,8358.0
2026-02-09,Interior,A,39500.0
2026-02-09,Interior,B,32776.0
2026-02-10,CABA,A,44618.0
2026-02-10,CABA,B,43261.0
2026-02-10,GBA,A,48633.0
2026-02-10,GBA,B,13705.0
2026-02-10,Interior,A,26055.0
2026-02-10,Interior,B,37845.0
2026-02-11,CABA,A,31614.0
2026-02-11,CABA,B,6741.0
2026-02-11,GBA,A,34745.0
2026-02-11,GBA,B,2808.0
2026-02-11,Interior,A,46332.0
2026-02-11,Interior,B,34127.0
2026-02-12,CABA,A,19131.0
2026-02-12,CABA,B,22153.0
2026-02-12,GBA,A,49854.0
2026-02-12,GBA,B,47608.0
2026-02-12,Interior,A,27151.0
2026-02-12,Interior,B,46859.0
2026-02-16,CABA,A,3300.0
2026-02-16,CABA,B,38096.0
2026-02-16,GBA,A,41117.0
2026-02-16,GBA,B,39337.0
2026-02-16,Interior,A,11532.0
2026-02-16,Interior,B,34512.0
2026-02-17,CABA,A,8466.0
2026-02-17,CABA,B,38133.0
2026-02-17,GBA,A,39636.0
2026-02-17,GBA,B,15943.0
2026-02-17,Interior,A,45755.0
2026-02-17,Interior,B,47918.0
2026-02-18,CABA,A,14547.0
2026-02-18,CABA,B,
2026-02-18,GBA,A,40117.0
2026-02-18,GBA,B,41936.0
2026-02-18,Interior,A,44213.0
2026-02-18,Interior,B,2482.0
2026-02-19,CABA,A,10979.0
2026-02-19,CABA,B,12873.0
2026-02-19,GBA,A,38677.0
2026-02-19,GBA,B,16513.0
2026-02-19,Interior,A,43277.0
2026-02-19,Interior,B,44159.0
2026-02-20,CABA,A,31207.0
2026-02-20,CABA,B,28158.0
2026-02-20,GBA,A,25234.0
2026-02-20,GBA,B,34194.0
2026-02-20,Interior,A,4005.0
2026-02-20,Interior,B,25826.0
2026-02-23,CABA,A,29075.0
2026-02-23,CABA,B,23875.0
2026-02-23,GBA,A,42750.0
2026-02-23,GBA,B,23106.0
2026-02-23,Interior,A,15167.0
2026-02-23,Interior,B,27368.0
2026-02-24,CABA,A,12558.0
2026-02-24,CABA,B,43381.0
2026-02-24,GBA,A,12882.0
2026-02-24,GBA,B,42253.0
2026-02-24,Interior,A,11411.0
2026-02-24,Interior,B,46963.0
2026-02-25,CABA,A,43367.0
2026-02-25,CABA,B,40119.0
2026-02-25,GBA,A,27137.0
2026-02-25,GBA,B,3449.0
2026-02-25,Interior,A,33102.0
2026-02-25,Interior,B,14875.0
2026-02-26,CABA,A,32545.0
2026-02-26,CABA,B,
2026-02-26,GBA,A,40394.0
2026-02-26,GBA,B,6929.0
2026-02-26,Interior,A,18106.0
2026-02-26,Interior,B,48436.0
2026-02-27,CABA,A,38955.0
2026-02-27,CABA,B,42726.0
2026-02-27,GBA,A,0.0
2026-02-27,GBA,B,22203.0
2026-02-27,Interior,A,12218.0
2026-02-27,Interior,B,
2026-01-09,CABA,A,3929.0
2026-01-09,CABA,B,39511.0
